Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,XGBoost,Kane,1,50,0.01,0.6584763625414033,0.5549970179773367,0.07157643594491447,0.03389830508474576
mimic_cohort_NF_30_days,XGBoost,Kane,2,50,0.001,0.6582183186951067,0.6300620417371686,0.09145173747555807,0.0
mimic_cohort_NF_30_days,XGBoost,Kane,3,50,0.01,0.643847574282357,0.5893725680933852,0.07917029159335007,0.03076923076923077
mimic_cohort_NF_30_days,XGBoost,Kane,4,50,0.01,0.7126501021972407,0.6002571760411481,0.07107105809275452,0.07692307692307693
mimic_cohort_NF_30_days,RandomForest,Kane,0,50,0.005,0.6676528878822197,0.6694293789626462,0.10873609875220196,0.15384615384615385
mimic_cohort_NF_30_days,RandomForest,Kane,1,50,0.005,0.6749623607347184,0.6433074891369175,0.06590849446500874,0.0
mimic_cohort_NF_30_days,RandomForest,Kane,2,50,0.01,0.6567440401505646,0.6872156420379771,0.12966144250197104,0.03076923076923077
mimic_cohort_NF_30_days,RandomForest,Kane,3,50,0.005,0.6796038274299144,0.6627292940522513,0.13607834720543144,0.13513513513513514
mimic_cohort_NF_30_days,RandomForest,Kane,4,50,0.01,0.7163707204905467,0.6813505890160941,0.12427081089327514,0.058823529411764705
mimic_cohort_NF_30_days,CatBoost,Kane,0,50,0.005,0.6270101925254813,0.6579711252005194,0.1275284831883142,0.21621621621621623
mimic_cohort_NF_30_days,CatBoost,Kane,1,50,0.01,0.6560072267389341,0.6231788361591548,0.06227182529019292,0.0963855421686747
mimic_cohort_NF_30_days,CatBoost,Kane,2,50,0.01,0.6500941028858218,0.6760105282947922,0.12362084406070539,0.18947368421052632
mimic_cohort_NF_30_days,CatBoost,Kane,3,50,0.01,0.619204297465167,0.6377675097276265,0.1077526271617644,0.125
mimic_cohort_NF_30_days,CatBoost,Kane,4,50,0.01,0.7224386816555953,0.6503442840550854,0.0820258735506285,0.13008130081300814
mimic_cohort_NF_30_days,XGBoost,Kane,0,100,0.01,0.6843431483578708,0.6833893514628372,0.11327210927942223,0.08955223880597014
mimic_cohort_NF_30_days,XGBoost,Kane,1,100,0.01,0.6930141523637459,0.605627502769021,0.06364680926073017,0.03389830508474576
mimic_cohort_NF_30_days,XGBoost,Kane,2,100,0.01,0.7064930991217064,0.6439932318104906,0.11587086443738319,0.06557377049180328
mimic_cohort_NF_30_days,XGBoost,Kane,3,100,0.005,0.6670135974483801,0.5815209838799333,0.08294818827577687,0.031746031746031744
mimic_cohort_NF_30_days,XGBoost,Kane,4,100,0.01,0.7060232498722534,0.6768500082960014,0.09776136230833243,0.0
mimic_cohort_NF_30_days,RandomForest,Kane,0,100,0.0,0.6613250283125709,0.6263272477274463,0.1168283016133548,0.1111111111111111
mimic_cohort_NF_30_days,RandomForest,Kane,1,100,0.01,0.6816922613670582,0.6442872965834541,0.07390282071989387,0.03773584905660377
mimic_cohort_NF_30_days,RandomForest,Kane,2,100,0.01,0.705771643663739,0.6999811994735854,0.14480761319232027,0.06349206349206349
mimic_cohort_NF_30_days,RandomForest,Kane,3,100,0.01,0.6774215208997818,0.6151507782101168,0.08996853261783844,0.029850746268656716
mimic_cohort_NF_30_days,RandomForest,Kane,4,100,0.01,0.6999393203883495,0.6892110502737681,0.10158354051520896,0.03333333333333333
mimic_cohort_NF_30_days,CatBoost,Kane,0,100,0.0,0.6648357870894678,0.6189557711404783,0.10445789511106952,0.17543859649122806
mimic_cohort_NF_30_days,CatBoost,Kane,1,100,0.01,0.6842517314062029,0.5735920592996507,0.06051361449309801,0.05063291139240506
mimic_cohort_NF_30_days,CatBoost,Kane,2,100,0.005,0.684378920953576,0.6257943222410227,0.11782034065919147,0.12195121951219512
mimic_cohort_NF_30_days,CatBoost,Kane,3,100,0.005,0.638240725197247,0.6239403835464147,0.11614641037779105,0.1348314606741573
mimic_cohort_NF_30_days,CatBoost,Kane,4,100,0.01,0.6988055697496167,0.6763729882196781,0.0949797259002603,0.11320754716981132
mimic_cohort_NF_30_days,XGBoost,Kane,0,1000,0.01,0.7373725934314834,0.6670995340310137,0.13071686895129697,0.034482758620689655
mimic_cohort_NF_30_days,XGBoost,Kane,1,1000,0.005,0.6320987654320988,0.5648802930902275,0.06256374625581573,0.0
mimic_cohort_NF_30_days,XGBoost,Kane,2,1000,0.005,0.6590338770388958,0.6719214137995864,0.1292050010920643,0.06779661016949153
mimic_cohort_NF_30_days,XGBoost,Kane,3,1000,0.001,0.6269598791337921,0.6289431628682601,0.10426680571602218,0.034482758620689655
