Cohort,Model,Feature_Type,Fold,Dimension,Selected_Threshold,Val_AUC_Best,Test_AUC,Test_AUPRC,Test_F1
mimic_cohort_NF_30_days,CatBoost,Word2Vec,4,10,0.001,0.6049118548799183,0.5789571926331508,0.0630280963366088,0.10989010989010989
mimic_cohort_NF_30_days,XGBoost,Word2Vec,0,50,0.005,0.603510758776897,0.5736861202352761,0.06189685472562153,0.023255813953488372
mimic_cohort_NF_30_days,XGBoost,Word2Vec,1,50,0.005,0.6446853357422463,0.639335008946068,0.0649605906996597,0.0547945205479452
mimic_cohort_NF_30_days,XGBoost,Word2Vec,2,50,0.01,0.5897114178168131,0.6957134799774395,0.0960443941294239,0.05405405405405406
mimic_cohort_NF_30_days,XGBoost,Word2Vec,3,50,0.0,0.5972133624307537,0.5759536548082268,0.06394575286006751,0.0
mimic_cohort_NF_30_days,XGBoost,Word2Vec,4,50,0.005,0.6121614716402658,0.5971046955367513,0.07191747274735977,0.05405405405405406
mimic_cohort_NF_30_days,RandomForest,Word2Vec,0,50,0.01,0.5592157417893545,0.5840271942555955,0.06744414381466464,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,1,50,0.01,0.6112165010538995,0.609781034335861,0.0591765500022597,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,2,50,0.0,0.6154642409033877,0.6330043241210754,0.07483901189677243,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,3,50,0.005,0.6334564378042639,0.5913528349082824,0.06558962485529249,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,4,50,0.01,0.6088560296371999,0.6474303135888502,0.07061940887478396,0.0
mimic_cohort_NF_30_days,CatBoost,Word2Vec,0,50,0.005,0.5998018120045301,0.5863856848216331,0.06461914421160198,0.0880503144654088
mimic_cohort_NF_30_days,CatBoost,Word2Vec,1,50,0.01,0.6165913881361036,0.6255538042089119,0.06462137072266214,0.09090909090909091
mimic_cohort_NF_30_days,CatBoost,Word2Vec,2,50,0.005,0.632292973651192,0.6158676442940402,0.0718387211346358,0.10218978102189781
mimic_cohort_NF_30_days,CatBoost,Word2Vec,3,50,0.01,0.6334060768843378,0.6021835047248472,0.07510001695849408,0.11827956989247312
mimic_cohort_NF_30_days,CatBoost,Word2Vec,4,50,0.005,0.6184529892692897,0.6023104363696697,0.06639346948855206,0.08139534883720931
mimic_cohort_NF_30_days,XGBoost,Word2Vec,0,100,0.005,0.5902887882219705,0.6172083874417539,0.07172665046229526,0.024691358024691357
mimic_cohort_NF_30_days,XGBoost,Word2Vec,1,100,0.01,0.6535682023486902,0.6597405640282867,0.06595739274403198,0.03125
mimic_cohort_NF_30_days,XGBoost,Word2Vec,2,100,0.005,0.6340495608531995,0.6346305696559504,0.0904957489543102,0.10526315789473684
mimic_cohort_NF_30_days,XGBoost,Word2Vec,3,100,0.01,0.6021823065301326,0.5978929266259033,0.09694263098948916,0.14432989690721648
mimic_cohort_NF_30_days,XGBoost,Word2Vec,4,100,0.01,0.6452957332652018,0.6356603617056579,0.07331846154899842,0.05333333333333334
mimic_cohort_NF_30_days,RandomForest,Word2Vec,0,100,0.005,0.6114949037372593,0.6009281185547322,0.06253246241917909,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,1,100,0.01,0.6220114423366455,0.6397184118599302,0.06274466888850322,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,2,100,0.0,0.6117314930991217,0.6336717428087986,0.07653625742157967,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,3,100,0.005,0.607184824576129,0.5912659811006115,0.06595831026231641,0.0
mimic_cohort_NF_30_days,RandomForest,Word2Vec,4,100,0.0,0.5838975472662238,0.5912249045959846,0.05947710932755634,0.0
mimic_cohort_NF_30_days,CatBoost,Word2Vec,0,100,0.01,0.5909682899207248,0.599553128103277,0.0836708404549272,0.12738853503184713
mimic_cohort_NF_30_days,CatBoost,Word2Vec,1,100,0.005,0.6392050587172539,0.6098981852262078,0.07251554429915115,0.11764705882352941
mimic_cohort_NF_30_days,CatBoost,Word2Vec,2,100,0.005,0.606289209535759,0.6356645986087611,0.09540081031991118,0.125
mimic_cohort_NF_30_days,CatBoost,Word2Vec,3,100,0.005,0.5981870068826591,0.5792019872151195,0.06265590009220826,0.056179775280898875
